
 Sweep settings: Start voltage: 20 V, end voltage:  23 V, sweep points: 300, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.115000E+01,+9.555650E-08,+9.910000E+37
+2.115000E+01,+7.927163E-08,+9.910000E+37
+2.120000E+01,+1.439292E-07,+9.910000E+37
+2.120000E+01,+1.230548E-07,+9.910000E+37
+2.120000E+01,+1.349105E-07,+9.910000E+37
+2.120000E+01,+1.265655E-07,+9.910000E+37
+2.120000E+01,+1.111146E-07,+9.910000E+37
+2.125000E+01,+1.674305E-07,+9.910000E+37
+2.125000E+01,+1.748063E-07,+9.910000E+37
+2.125000E+01,+1.533830E-07,+9.910000E+37
+2.125000E+01,+1.661594E-07,+9.910000E+37
+2.125000E+01,+1.844756E-07,+9.910000E+37
+2.130000E+01,+1.927951E-07,+9.910000E+37
+2.130000E+01,+1.891098E-07,+9.910000E+37
+2.130000E+01,+1.975709E-07,+9.910000E+37
+2.130000E+01,+1.821425E-07,+9.910000E+37
+2.130000E+01,+1.951132E-07,+9.910000E+37
+2.135000E+01,+2.415831E-07,+9.910000E+37
+2.135000E+01,+2.316248E-07,+9.910000E+37
+2.135000E+01,+2.443010E-07,+9.910000E+37
+2.135000E+01,+2.466705E-07,+9.910000E+37
+2.135000E+01,+2.228054E-07,+9.910000E+37
+2.140000E+01,+2.997864E-07,+9.910000E+37
+2.140000E+01,+2.929388E-07,+9.910000E+37
+2.140000E+01,+2.646287E-07,+9.910000E+37
+2.140000E+01,+3.338974E-07,+9.910000E+37
+2.140000E+01,+2.956945E-07,+9.910000E+37
+2.145000E+01,+2.991662E-07,+9.910000E+37
+2.145000E+01,+3.716235E-07,+9.910000E+37
+2.145000E+01,+3.362030E-07,+9.910000E+37
+2.145000E+01,+2.961376E-07,+9.910000E+37
+2.145000E+01,+3.528738E-07,+9.910000E+37
+2.150000E+01,+3.986651E-07,+9.910000E+37
+2.150000E+01,+3.841801E-07,+9.910000E+37
+2.150000E+01,+4.210955E-07,+9.910000E+37
+2.150000E+01,+4.017534E-07,+9.910000E+37
+2.150000E+01,+3.998305E-07,+9.910000E+37
+2.155000E+01,+4.887207E-07,+9.910000E+37
+2.155000E+01,+4.653670E-07,+9.910000E+37
+2.155000E+01,+4.736930E-07,+9.910000E+37
+2.155000E+01,+4.800730E-07,+9.910000E+37
+2.155000E+01,+4.538355E-07,+9.910000E+37
+2.160000E+01,+5.693726E-07,+9.910000E+37
+2.160000E+01,+5.471205E-07,+9.910000E+37
+2.160000E+01,+5.274196E-07,+9.910000E+37
+2.160000E+01,+5.915771E-07,+9.910000E+37
+2.160000E+01,+5.603102E-07,+9.910000E+37
+2.165000E+01,+5.670732E-07,+9.910000E+37
+2.165000E+01,+6.488912E-07,+9.910000E+37
+2.165000E+01,+6.206774E-07,+9.910000E+37
+2.165000E+01,+5.801360E-07,+9.910000E+37
+2.165000E+01,+6.346717E-07,+9.910000E+37
+2.170000E+01,+7.062055E-07,+9.910000E+37
+2.170000E+01,+6.721335E-07,+9.910000E+37
