
 Sweep settings: Start voltage: 10 V, end voltage:  22 V, sweep points: 240.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.580000E+01,-7.905837E-09,+9.910000E+37
+1.585000E+01,-3.318810E-08,+9.910000E+37
+1.590000E+01,-3.524384E-08,+9.910000E+37
+1.595000E+01,-2.660801E-08,+9.910000E+37
+1.600000E+01,-9.876226E-09,+9.910000E+37
+1.605000E+01,+1.129655E-09,+9.910000E+37
+1.610000E+01,+1.727300E-09,+9.910000E+37
+1.615000E+01,+4.979352E-09,+9.910000E+37
+1.620000E+01,+4.510511E-09,+9.910000E+37
+1.625000E+01,+1.663854E-08,+9.910000E+37
+1.630000E+01,+2.853396E-08,+9.910000E+37
+1.635000E+01,+3.549395E-08,+9.910000E+37
+1.640000E+01,+3.625560E-08,+9.910000E+37
+1.645000E+01,+2.678662E-08,+9.910000E+37
+1.650000E+01,+1.878733E-08,+9.910000E+37
+1.655000E+01,-1.347367E-08,+9.910000E+37
+1.660000E+01,-3.900316E-08,+9.910000E+37
+1.665000E+01,-3.826834E-08,+9.910000E+37
+1.670000E+01,-2.121448E-08,+9.910000E+37
+1.675000E+01,-6.335565E-09,+9.910000E+37
+1.680000E+01,-2.357491E-09,+9.910000E+37
+1.685000E+01,+3.854057E-09,+9.910000E+37
+1.690000E+01,-6.811677E-10,+9.910000E+37
+1.695000E+01,+1.072379E-08,+9.910000E+37
+1.700000E+01,+3.074645E-08,+9.910000E+37
+1.705000E+01,+3.497300E-08,+9.910000E+37
+1.710000E+01,+4.480431E-08,+9.910000E+37
+1.715000E+01,+2.722290E-08,+9.910000E+37
+1.720000E+01,+8.553630E-09,+9.910000E+37
+1.725000E+01,-1.751262E-08,+9.910000E+37
+1.730000E+01,-4.527628E-08,+9.910000E+37
+1.735000E+01,-2.217097E-08,+9.910000E+37
+1.740000E+01,-1.673851E-08,+9.910000E+37
+1.745000E+01,+6.377958E-09,+9.910000E+37
+1.750000E+01,+7.162825E-09,+9.910000E+37
+1.755000E+01,-2.159914E-09,+9.910000E+37
+1.760000E+01,+4.007291E-09,+9.910000E+37
+1.765000E+01,+9.176954E-09,+9.910000E+37
+1.770000E+01,+1.207813E-08,+9.910000E+37
+1.775000E+01,+2.004803E-08,+9.910000E+37
+1.780000E+01,+3.384137E-08,+9.910000E+37
+1.785000E+01,+3.426263E-08,+9.910000E+37
+1.790000E+01,+1.358490E-08,+9.910000E+37
+1.795000E+01,-1.281923E-08,+9.910000E+37
+1.800000E+01,-4.110774E-08,+9.910000E+37
+1.805000E+01,-2.963906E-08,+9.910000E+37
+1.810000E+01,-1.093212E-08,+9.910000E+37
+1.815000E+01,+2.585458E-09,+9.910000E+37
+1.820000E+01,+2.693981E-09,+9.910000E+37
+1.825000E+01,-3.875156E-09,+9.910000E+37
+1.830000E+01,+1.552322E-08,+9.910000E+37
+1.835000E+01,+2.838300E-08,+9.910000E+37
+1.840000E+01,+3.709041E-08,+9.910000E+37
+1.845000E+01,+3.132824E-08,+9.910000E+37
+1.850000E+01,-1.251316E-08,+9.910000E+37
+1.855000E+01,-3.377752E-08,+9.910000E+37
+1.860000E+01,-3.741061E-08,+9.910000E+37
+1.865000E+01,-1.566399E-08,+9.910000E+37
+1.870000E+01,-3.728541E-09,+9.910000E+37
+1.875000E+01,+1.344192E-09,+9.910000E+37
+1.880000E+01,+1.110187E-09,+9.910000E+37
+1.885000E+01,+1.385241E-08,+9.910000E+37
+1.890000E+01,+1.461167E-08,+9.910000E+37
+1.895000E+01,+2.912201E-08,+9.910000E+37
+1.900000E+01,+3.208944E-08,+9.910000E+37
+1.905000E+01,+2.242695E-08,+9.910000E+37
+1.910000E+01,+5.098208E-09,+9.910000E+37
+1.915000E+01,-3.148362E-08,+9.910000E+37
+1.920000E+01,-3.799471E-08,+9.910000E+37
+1.925000E+01,-7.138316E-09,+9.910000E+37
+1.930000E+01,+5.888867E-09,+9.910000E+37
+1.935000E+01,-3.413310E-09,+9.910000E+37
+1.940000E+01,+2.197417E-08,+9.910000E+37
