
 Sweep settings: Start voltage: 18 V, end voltage:  25 V, sweep points: 140.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.380000E+01,-3.399665E-08,+9.910000E+37
+2.385000E+01,-2.748732E-08,+9.910000E+37
+2.390000E+01,-3.029401E-08,+9.910000E+37
+2.395000E+01,-2.687931E-08,+9.910000E+37
+2.400000E+01,-2.778562E-08,+9.910000E+37
+2.405000E+01,-3.146471E-08,+9.910000E+37
+2.410000E+01,-3.055786E-08,+9.910000E+37
+2.415000E+01,-2.832277E-08,+9.910000E+37
+2.420000E+01,-2.886714E-08,+9.910000E+37
+2.425000E+01,-3.079240E-08,+9.910000E+37
+2.430000E+01,-2.764921E-08,+9.910000E+37
+2.435000E+01,-6.743984E-09,+9.910000E+37
+2.440000E+01,-9.042450E-09,+9.910000E+37
+2.445000E+01,-9.596262E-09,+9.910000E+37
+2.450000E+01,-1.334367E-08,+9.910000E+37
+2.455000E+01,-7.505736E-09,+9.910000E+37
+2.460000E+01,-3.340816E-09,+9.910000E+37
+2.465000E+01,-1.297702E-08,+9.910000E+37
+2.470000E+01,-2.673539E-09,+9.910000E+37
+2.475000E+01,-1.517940E-08,+9.910000E+37
+2.480000E+01,-1.352755E-08,+9.910000E+37
+2.485000E+01,-1.662333E-08,+9.910000E+37
+2.490000E+01,-5.623531E-09,+9.910000E+37
+2.495000E+01,+2.407357E-09,+9.910000E+37
