
 Sweep settings: Start voltage: 20 V, end voltage:  23.5 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.000000E+01,+4.263522E-07,+9.910000E+37
+2.005000E+01,-3.101227E-08,+9.910000E+37
+2.005000E+01,-3.792876E-08,+9.910000E+37
+2.010000E+01,-1.721664E-09,+9.910000E+37
+2.015000E+01,+4.476725E-08,+9.910000E+37
+2.015000E+01,+1.007441E-08,+9.910000E+37
+2.020000E+01,-8.554082E-09,+9.910000E+37
+2.025000E+01,-2.481749E-09,+9.910000E+37
+2.030000E+01,-3.326803E-08,+9.910000E+37
+2.030000E+01,-1.737020E-08,+9.910000E+37
+2.035000E+01,+2.946326E-08,+9.910000E+37
+2.040000E+01,+3.152041E-08,+9.910000E+37
+2.040000E+01,-1.484326E-09,+9.910000E+37
+2.045000E+01,-6.280493E-09,+9.910000E+37
+2.050000E+01,-1.903950E-08,+9.910000E+37
+2.055000E+01,-3.744178E-08,+9.910000E+37
+2.055000E+01,+4.409453E-09,+9.910000E+37
+2.060000E+01,+3.423496E-08,+9.910000E+37
+2.065000E+01,+2.489377E-08,+9.910000E+37
+2.065000E+01,+6.193276E-09,+9.910000E+37
+2.070000E+01,+4.972227E-10,+9.910000E+37
+2.075000E+01,-2.916033E-08,+9.910000E+37
+2.075000E+01,-3.196502E-08,+9.910000E+37
+2.080000E+01,+1.549508E-08,+9.910000E+37
+2.085000E+01,+4.030282E-08,+9.910000E+37
+2.090000E+01,+9.317299E-09,+9.910000E+37
+2.090000E+01,-7.096503E-09,+9.910000E+37
+2.095000E+01,-5.306249E-09,+9.910000E+37
+2.100000E+01,-3.748939E-08,+9.910000E+37
+2.100000E+01,+3.041453E-09,+9.910000E+37
+2.105000E+01,+3.265523E-08,+9.910000E+37
+2.110000E+01,+3.550059E-09,+9.910000E+37
+2.110000E+01,-8.195203E-10,+9.910000E+37
+2.115000E+01,-1.377150E-08,+9.910000E+37
+2.120000E+01,-3.302168E-08,+9.910000E+37
+2.125000E+01,-2.024853E-08,+9.910000E+37
+2.125000E+01,+2.903334E-08,+9.910000E+37
+2.130000E+01,+3.110792E-08,+9.910000E+37
+2.135000E+01,+5.142102E-09,+9.910000E+37
+2.135000E+01,+3.276688E-09,+9.910000E+37
+2.140000E+01,-6.641678E-09,+9.910000E+37
+2.145000E+01,-2.513504E-08,+9.910000E+37
+2.145000E+01,-1.888998E-08,+9.910000E+37
+2.150000E+01,+2.771049E-08,+9.910000E+37
+2.155000E+01,+4.862102E-08,+9.910000E+37
+2.160000E+01,+2.055368E-08,+9.910000E+37
+2.160000E+01,+1.506393E-08,+9.910000E+37
+2.165000E+01,+3.486691E-09,+9.910000E+37
+2.170000E+01,-1.175433E-08,+9.910000E+37
+2.170000E+01,+9.620514E-09,+9.910000E+37
+2.175000E+01,+6.465179E-08,+9.910000E+37
+2.180000E+01,+1.009452E-07,+9.910000E+37
+2.180000E+01,+9.084539E-08,+9.910000E+37
+2.185000E+01,+8.325728E-08,+9.910000E+37
+2.190000E+01,+1.101915E-07,+9.910000E+37
+2.195000E+01,+1.134885E-07,+9.910000E+37
+2.195000E+01,+1.306628E-07,+9.910000E+37
+2.200000E+01,+1.926839E-07,+9.910000E+37
+2.205000E+01,+2.506481E-07,+9.910000E+37
+2.205000E+01,+2.427298E-07,+9.910000E+37
+2.210000E+01,+2.618760E-07,+9.910000E+37
+2.215000E+01,+2.876914E-07,+9.910000E+37
+2.215000E+01,+2.863492E-07,+9.910000E+37
+2.220000E+01,+2.915324E-07,+9.910000E+37
+2.225000E+01,+3.463230E-07,+9.910000E+37
+2.230000E+01,+4.310778E-07,+9.910000E+37
+2.230000E+01,+4.400363E-07,+9.910000E+37
+2.235000E+01,+4.468698E-07,+9.910000E+37
+2.240000E+01,+4.707884E-07,+9.910000E+37
+2.240000E+01,+4.669117E-07,+9.910000E+37
+2.245000E+01,+5.024228E-07,+9.910000E+37
+2.250000E+01,+5.136372E-07,+9.910000E+37
+2.250000E+01,+5.265497E-07,+9.910000E+37
+2.255000E+01,+6.122723E-07,+9.910000E+37
+2.260000E+01,+6.318655E-07,+9.910000E+37
+2.265000E+01,+6.534329E-07,+9.910000E+37
+2.265000E+01,+6.500098E-07,+9.910000E+37
+2.270000E+01,+6.864900E-07,+9.910000E+37
+2.275000E+01,+7.124582E-07,+9.910000E+37
+2.275000E+01,+6.972066E-07,+9.910000E+37
+2.280000E+01,+7.747161E-07,+9.910000E+37
+2.285000E+01,+8.493926E-07,+9.910000E+37
+2.285000E+01,+8.361775E-07,+9.910000E+37
+2.290000E+01,+8.685990E-07,+9.910000E+37
+2.295000E+01,+8.927938E-07,+9.910000E+37
+2.300000E+01,+9.354227E-07,+9.910000E+37
+2.300000E+01,+9.215359E-07,+9.910000E+37
+2.305000E+01,+9.726178E-07,+9.910000E+37
+2.310000E+01,+1.056689E-06,+9.910000E+37
+2.310000E+01,+1.086361E-06,+9.910000E+37
+2.315000E+01,+1.100584E-06,+9.910000E+37
+2.320000E+01,+1.145472E-06,+9.910000E+37
+2.320000E+01,+1.147927E-06,+9.910000E+37
+2.325000E+01,+1.182180E-06,+9.910000E+37
+2.330000E+01,+1.250614E-06,+9.910000E+37
+2.335000E+01,+1.346243E-06,+9.910000E+37
+2.335000E+01,+1.336112E-06,+9.910000E+37
+2.340000E+01,+1.380352E-06,+9.910000E+37
+2.345000E+01,+1.448272E-06,+9.910000E+37
+2.345000E+01,+1.427727E-06,+9.910000E+37
