
 Sweep settings: Start voltage: 10 V, end voltage:  22 V, sweep points: 240.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.580000E+01,+3.676785E-08,+9.910000E+37
+1.585000E+01,+3.705894E-08,+9.910000E+37
+1.590000E+01,+3.748484E-08,+9.910000E+37
+1.595000E+01,+3.535196E-08,+9.910000E+37
+1.600000E+01,+4.622746E-08,+9.910000E+37
+1.605000E+01,+3.615208E-08,+9.910000E+37
+1.610000E+01,+3.876258E-08,+9.910000E+37
+1.615000E+01,+2.759080E-08,+9.910000E+37
+1.620000E+01,+2.186121E-08,+9.910000E+37
+1.625000E+01,-2.164233E-10,+9.910000E+37
+1.630000E+01,-5.806217E-09,+9.910000E+37
+1.635000E+01,-2.696827E-08,+9.910000E+37
+1.640000E+01,-3.745181E-08,+9.910000E+37
+1.645000E+01,-3.891206E-08,+9.910000E+37
+1.650000E+01,-1.977717E-08,+9.910000E+37
+1.655000E+01,-2.082812E-08,+9.910000E+37
+1.660000E+01,-9.583400E-09,+9.910000E+37
+1.665000E+01,-1.295034E-09,+9.910000E+37
+1.670000E+01,-1.076322E-09,+9.910000E+37
+1.675000E+01,-1.746521E-09,+9.910000E+37
+1.680000E+01,-2.521923E-09,+9.910000E+37
+1.685000E+01,+8.521695E-09,+9.910000E+37
+1.690000E+01,+4.913501E-09,+9.910000E+37
+1.695000E+01,+1.755060E-08,+9.910000E+37
+1.700000E+01,+2.346479E-08,+9.910000E+37
+1.705000E+01,+3.617845E-08,+9.910000E+37
+1.710000E+01,+3.363216E-08,+9.910000E+37
+1.715000E+01,+3.849591E-08,+9.910000E+37
+1.720000E+01,+3.588610E-08,+9.910000E+37
+1.725000E+01,+2.936796E-08,+9.910000E+37
+1.730000E+01,+1.510816E-08,+9.910000E+37
+1.735000E+01,+8.257896E-09,+9.910000E+37
+1.740000E+01,-6.661541E-09,+9.910000E+37
+1.745000E+01,-2.777066E-08,+9.910000E+37
+1.750000E+01,-3.391299E-08,+9.910000E+37
+1.755000E+01,-3.121326E-08,+9.910000E+37
+1.760000E+01,-2.892044E-08,+9.910000E+37
+1.765000E+01,-3.862887E-08,+9.910000E+37
+1.770000E+01,-3.447308E-08,+9.910000E+37
+1.775000E+01,-3.831340E-08,+9.910000E+37
+1.780000E+01,-3.813950E-08,+9.910000E+37
+1.785000E+01,-2.999620E-08,+9.910000E+37
+1.790000E+01,-1.810830E-08,+9.910000E+37
+1.795000E+01,-7.930081E-10,+9.910000E+37
+1.800000E+01,-1.635101E-09,+9.910000E+37
+1.805000E+01,-1.958190E-09,+9.910000E+37
+1.810000E+01,+4.601220E-09,+9.910000E+37
+1.815000E+01,+4.804581E-09,+9.910000E+37
+1.820000E+01,+2.847551E-10,+9.910000E+37
+1.825000E+01,+2.153820E-08,+9.910000E+37
+1.830000E+01,+2.941313E-08,+9.910000E+37
+1.835000E+01,+3.667265E-08,+9.910000E+37
+1.840000E+01,+3.820222E-08,+9.910000E+37
+1.845000E+01,+3.877499E-08,+9.910000E+37
+1.850000E+01,+2.386655E-08,+9.910000E+37
+1.855000E+01,+2.320891E-08,+9.910000E+37
+1.860000E+01,+1.817096E-08,+9.910000E+37
+1.865000E+01,-1.981362E-08,+9.910000E+37
+1.870000E+01,-2.218418E-08,+9.910000E+37
+1.875000E+01,-3.103711E-08,+9.910000E+37
+1.880000E+01,-3.761075E-08,+9.910000E+37
+1.885000E+01,-3.408573E-08,+9.910000E+37
+1.890000E+01,-1.784568E-08,+9.910000E+37
+1.895000E+01,-1.519534E-09,+9.910000E+37
+1.900000E+01,+5.378125E-10,+9.910000E+37
+1.905000E+01,-4.872580E-09,+9.910000E+37
+1.910000E+01,+1.376089E-09,+9.910000E+37
+1.915000E+01,+1.363126E-08,+9.910000E+37
+1.920000E+01,+1.201106E-08,+9.910000E+37
+1.925000E+01,+2.701337E-08,+9.910000E+37
+1.930000E+01,+3.952893E-08,+9.910000E+37
+1.935000E+01,+3.734601E-08,+9.910000E+37
+1.940000E+01,+3.504297E-08,+9.910000E+37
+1.945000E+01,+2.119735E-08,+9.910000E+37
+1.950000E+01,+1.233455E-08,+9.910000E+37
+1.955000E+01,+8.995901E-09,+9.910000E+37
+1.960000E+01,-9.916856E-09,+9.910000E+37
+1.965000E+01,-2.791303E-08,+9.910000E+37
+1.970000E+01,-3.532952E-08,+9.910000E+37
+1.975000E+01,-2.484341E-08,+9.910000E+37
+1.980000E+01,-2.688831E-08,+9.910000E+37
+1.985000E+01,-1.744391E-08,+9.910000E+37
+1.990000E+01,-8.906175E-09,+9.910000E+37
+1.995000E+01,-6.903492E-09,+9.910000E+37
+2.000000E+01,-9.587159E-09,+9.910000E+37
+2.005000E+01,+3.460181E-09,+9.910000E+37
+2.010000E+01,-6.363323E-09,+9.910000E+37
+2.015000E+01,+3.299906E-09,+9.910000E+37
+2.020000E+01,-1.626400E-09,+9.910000E+37
+2.025000E+01,+3.123865E-09,+9.910000E+37
+2.030000E+01,+3.082032E-09,+9.910000E+37
