After nitrogen cooling, LED 5.6V, BIAS 18V-24V
 Sweep settings: Start voltage: 18 V, end voltage:  24 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.800000E+01,-5.173882E-09,+9.910000E+37
+1.805000E+01,-1.151522E-07,+9.910000E+37
+1.810000E+01,-3.748609E-09,+9.910000E+37
+1.820000E+01,-7.666593E-07,+9.910000E+37
+1.825000E+01,-6.972319E-07,+9.910000E+37
+1.830000E+01,+2.869546E-08,+9.910000E+37
+1.835000E+01,+1.638170E-08,+9.910000E+37
+1.840000E+01,-6.869405E-08,+9.910000E+37
+1.850000E+01,-7.141628E-07,+9.910000E+37
+1.855000E+01,-5.011242E-07,+9.910000E+37
+1.860000E+01,-3.434198E-07,+9.910000E+37
+1.865000E+01,+8.057942E-08,+9.910000E+37
+1.870000E+01,-4.620224E-08,+9.910000E+37
+1.880000E+01,-7.320566E-07,+9.910000E+37
+1.885000E+01,-8.723764E-08,+9.910000E+37
+1.890000E+01,+5.154818E-09,+9.910000E+37
+1.895000E+01,-3.604158E-08,+9.910000E+37
+1.900000E+01,-7.151589E-08,+9.910000E+37
+1.910000E+01,-3.216281E-07,+9.910000E+37
+1.915000E+01,-4.757119E-08,+9.910000E+37
+1.920000E+01,+2.253663E-08,+9.910000E+37
+1.925000E+01,-7.665250E-08,+9.910000E+37
+1.930000E+01,-7.298382E-08,+9.910000E+37
+1.940000E+01,-3.053632E-07,+9.910000E+37
+1.945000E+01,-4.389412E-08,+9.910000E+37
+1.950000E+01,-3.667793E-08,+9.910000E+37
+1.955000E+01,-3.647439E-08,+9.910000E+37
+1.960000E+01,-1.645280E-08,+9.910000E+37
+1.970000E+01,-7.174886E-07,+9.910000E+37
+1.975000E+01,-5.839954E-07,+9.910000E+37
+1.980000E+01,+1.142845E-07,+9.910000E+37
+1.985000E+01,-5.833154E-09,+9.910000E+37
+1.990000E+01,-7.426408E-08,+9.910000E+37
+2.000000E+01,-4.632007E-07,+9.910000E+37
+2.005000E+01,-4.507725E-08,+9.910000E+37
+2.010000E+01,-3.167571E-10,+9.910000E+37
+2.015000E+01,-1.186340E-09,+9.910000E+37
+2.020000E+01,-7.894755E-08,+9.910000E+37
+2.030000E+01,-6.391203E-07,+9.910000E+37
+2.035000E+01,+9.792088E-08,+9.910000E+37
+2.040000E+01,-2.625693E-08,+9.910000E+37
+2.045000E+01,-7.633943E-08,+9.910000E+37
+2.050000E+01,-6.510680E-08,+9.910000E+37
+2.060000E+01,-2.305857E-07,+9.910000E+37
+2.065000E+01,+1.692206E-07,+9.910000E+37
+2.070000E+01,-1.361895E-08,+9.910000E+37
+2.075000E+01,-1.145346E-07,+9.910000E+37
+2.080000E+01,-6.319159E-08,+9.910000E+37
+2.090000E+01,-1.906285E-07,+9.910000E+37
+2.095000E+01,+3.012257E-08,+9.910000E+37
+2.100000E+01,+3.005424E-07,+9.910000E+37
+2.105000E+01,+9.286337E-07,+9.910000E+37
+2.110000E+01,+1.509358E-06,+9.910000E+37
+2.120000E+01,+3.850254E-06,+9.910000E+37
+2.125000E+01,+5.336800E-06,+9.910000E+37
+2.130000E+01,+6.428189E-06,+9.910000E+37
+2.135000E+01,+8.262404E-06,+9.910000E+37
+2.140000E+01,+1.005733E-05,+9.910000E+37
+2.150000E+01,+1.370571E-05,+9.910000E+37
+2.155000E+01,+1.610566E-05,+9.910000E+37
+2.160000E+01,+1.878978E-05,+9.910000E+37
+2.165000E+01,+2.047065E-05,+9.910000E+37
+2.170000E+01,+2.307011E-05,+9.910000E+37
+2.180000E+01,+2.872395E-05,+9.910000E+37
+2.185000E+01,+3.089091E-05,+9.910000E+37
+2.190000E+01,+3.392108E-05,+9.910000E+37
+2.195000E+01,+3.707167E-05,+9.910000E+37
+2.200000E+01,+4.045720E-05,+9.910000E+37
+2.210000E+01,+4.621333E-05,+9.910000E+37
+2.215000E+01,+4.971321E-05,+9.910000E+37
+2.220000E+01,+5.199285E-05,+9.910000E+37
+2.225000E+01,+5.561976E-05,+9.910000E+37
+2.230000E+01,+5.943439E-05,+9.910000E+37
+2.240000E+01,+6.564039E-05,+9.910000E+37
+2.245000E+01,+6.946009E-05,+9.910000E+37
+2.250000E+01,+7.339588E-05,+9.910000E+37
+2.255000E+01,+7.754186E-05,+9.910000E+37
+2.260000E+01,+7.992720E-05,+9.910000E+37
+2.270000E+01,+8.798549E-05,+9.910000E+37
+2.275000E+01,+9.213733E-05,+9.910000E+37
+2.280000E+01,+9.503703E-05,+9.910000E+37
+2.285000E+01,+9.920763E-05,+9.910000E+37
+2.290000E+01,+1.030523E-04,+9.910000E+37
+2.300000E+01,+1.101758E-04,+9.910000E+37
+2.305000E+01,+1.142982E-04,+9.910000E+37
+2.310000E+01,+1.188549E-04,+9.910000E+37
+2.315000E+01,+1.218658E-04,+9.910000E+37
+2.320000E+01,+1.258775E-04,+9.910000E+37
+2.330000E+01,+1.350710E-04,+9.910000E+37
+2.335000E+01,+1.380394E-04,+9.910000E+37
+2.340000E+01,+1.427625E-04,+9.910000E+37
+2.345000E+01,+1.471454E-04,+9.910000E+37
+2.350000E+01,+1.517933E-04,+9.910000E+37
+2.360000E+01,+1.595521E-04,+9.910000E+37
+2.365000E+01,+1.640188E-04,+9.910000E+37
+2.370000E+01,+1.674231E-04,+9.910000E+37
+2.375000E+01,+1.721489E-04,+9.910000E+37
+2.380000E+01,+1.767846E-04,+9.910000E+37
+2.390000E+01,+1.848575E-04,+9.910000E+37
+2.395000E+01,+1.897752E-04,+9.910000E+37
+2.400000E+01,+1.947771E-04,+9.910000E+37
