THIS IS FINE
+1.475979E-06A,+1.264723E+03,+0.000000E+00,+001.0000
+1.623759E-06A,+1.265597E+03,+0.000000E+00,+001.1000
+1.771169E-06A,+1.266140E+03,+0.000000E+00,+001.2000
+1.918914E-06A,+1.266684E+03,+0.000000E+00,+001.3000
+2.066624E-06A,+1.267226E+03,+0.000000E+00,+001.4000
+2.214248E-06A,+1.267770E+03,+0.000000E+00,+001.5000
+2.362036E-06A,+1.268964E+03,+0.000000E+00,+001.6000
+2.509398E-06A,+1.269506E+03,+0.000000E+00,+001.7000
+2.657145E-06A,+1.270049E+03,+0.000000E+00,+001.8000
+2.804615E-06A,+1.270592E+03,+0.000000E+00,+001.9000
THIS IS FINE
+1.475994E-06A,+1.485496E+03,+0.000000E+00,+001.0000
+1.623773E-06A,+1.486370E+03,+0.000000E+00,+001.1000
+1.771182E-06A,+1.486913E+03,+0.000000E+00,+001.2000
+1.918933E-06A,+1.487456E+03,+0.000000E+00,+001.3000
+2.066633E-06A,+1.487999E+03,+0.000000E+00,+001.4000
+2.214262E-06A,+1.488542E+03,+0.000000E+00,+001.5000
+2.362044E-06A,+1.489736E+03,+0.000000E+00,+001.6000
+2.509465E-06A,+1.490279E+03,+0.000000E+00,+001.7000
+2.657165E-06A,+1.490822E+03,+0.000000E+00,+001.8000
+2.804677E-06A,+1.491365E+03,+0.000000E+00,+001.9000
THIS IS FINE
+1.475990E-06A,+1.588046E+03,+0.000000E+00,+001.0000
+1.623773E-06A,+1.588920E+03,+0.000000E+00,+001.1000
+1.771191E-06A,+1.589463E+03,+0.000000E+00,+001.2000
+1.918941E-06A,+1.590006E+03,+0.000000E+00,+001.3000
+2.066650E-06A,+1.590548E+03,+0.000000E+00,+001.4000
+2.214357E-06A,+1.591091E+03,+0.000000E+00,+001.5000
+2.362084E-06A,+1.592285E+03,+0.000000E+00,+001.6000
+2.509457E-06A,+1.592828E+03,+0.000000E+00,+001.7000
+2.657200E-06A,+1.593370E+03,+0.000000E+00,+001.8000
+2.804700E-06A,+1.593914E+03,+0.000000E+00,+001.9000
