
 Sweep settings: Start voltage: 20 V, end voltage:  23 V, sweep points: 200, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.175000E+01,+1.805195E-07,+9.910000E+37
+2.175000E+01,+1.550872E-07,+9.910000E+37
+2.175000E+01,+1.474616E-07,+9.910000E+37
+2.180000E+01,+9.291165E-08,+9.910000E+37
+2.180000E+01,+2.019683E-07,+9.910000E+37
+2.180000E+01,+1.811461E-07,+9.910000E+37
+2.185000E+01,+1.412868E-07,+9.910000E+37
+2.185000E+01,+2.127429E-07,+9.910000E+37
+2.185000E+01,+1.887213E-07,+9.910000E+37
+2.190000E+01,+1.301617E-07,+9.910000E+37
+2.190000E+01,+2.501423E-07,+9.910000E+37
+2.190000E+01,+2.158359E-07,+9.910000E+37
+2.190000E+01,+2.131548E-07,+9.910000E+37
+2.195000E+01,+1.625381E-07,+9.910000E+37
+2.195000E+01,+2.701283E-07,+9.910000E+37
+2.195000E+01,+2.384457E-07,+9.910000E+37
+2.200000E+01,+1.912828E-07,+9.910000E+37
+2.200000E+01,+2.982603E-07,+9.910000E+37
+2.200000E+01,+2.678822E-07,+9.910000E+37
+2.205000E+01,+2.267818E-07,+9.910000E+37
+2.205000E+01,+2.965336E-07,+9.910000E+37
+2.205000E+01,+2.842262E-07,+9.910000E+37
+2.205000E+01,+2.848591E-07,+9.910000E+37
+2.210000E+01,+2.326675E-07,+9.910000E+37
+2.210000E+01,+3.382387E-07,+9.910000E+37
+2.210000E+01,+3.092952E-07,+9.910000E+37
+2.215000E+01,+2.631062E-07,+9.910000E+37
+2.215000E+01,+3.600123E-07,+9.910000E+37
+2.215000E+01,+3.492608E-07,+9.910000E+37
+2.220000E+01,+3.176541E-07,+9.910000E+37
+2.220000E+01,+3.769356E-07,+9.910000E+37
+2.220000E+01,+3.551926E-07,+9.910000E+37
+2.220000E+01,+3.669059E-07,+9.910000E+37
+2.225000E+01,+3.100135E-07,+9.910000E+37
+2.225000E+01,+4.210836E-07,+9.910000E+37
+2.225000E+01,+3.803042E-07,+9.910000E+37
+2.230000E+01,+3.175569E-07,+9.910000E+37
+2.230000E+01,+4.472886E-07,+9.910000E+37
+2.230000E+01,+4.257988E-07,+9.910000E+37
+2.235000E+01,+3.362891E-07,+9.910000E+37
+2.235000E+01,+4.897139E-07,+9.910000E+37
+2.235000E+01,+4.577181E-07,+9.910000E+37
+2.235000E+01,+4.629236E-07,+9.910000E+37
+2.240000E+01,+4.395081E-07,+9.910000E+37
+2.240000E+01,+5.041207E-07,+9.910000E+37
+2.240000E+01,+4.744577E-07,+9.910000E+37
+2.245000E+01,+2.584827E-07,+9.910000E+37
+2.245000E+01,+5.247053E-07,+9.910000E+37
+2.245000E+01,+5.250383E-07,+9.910000E+37
